Fire_Mod,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Globisporangium,0.36274835947728346,0.33846025472134067,0.05490550351717577,38,81.57894736842105
SOD-UT,Pythium,0.14623309917702473,0.21208790521572307,0.034405201388741063,38,65.78947368421053
SOD-UT,Phytopythium,0.11986479254019616,0.23970946024103792,0.038886009298789194,38,39.473684210526315
SOD-UT,Achlya,0.11671383391739801,0.215557187444478,0.03496799328219339,38,36.84210526315789
SOD-UT,Phytophthora,0.06422760798922086,0.19304925426264724,0.03131672437472056,38,42.10526315789473
SOD-UT,Saprolegnia,0.0528603458631158,0.18735504059067543,0.03039300094063107,38,21.052631578947366
SOD-UT,Halophytophthora,0.04278452227397451,0.1339740746090908,0.021733464777765523,38,15.789473684210526
SOD-UT,Lagenidium,0.04150381444760516,0.16565209628360242,0.026872318472415894,38,7.894736842105263
SOD-UT,Elongisporangium,0.02522752297056615,0.12759559505040102,0.020698738759101346,38,7.894736842105263
SOD-UT,Aphanomyces,0.02440020922038463,0.06398239923662621,0.010379315731521321,38,26.31578947368421
SOD-UT,Other,0.0034358921232305294,0.009518819723963977,0.0015441564631089692,38,31.57894736842105
SOD-T,Globisporangium,0.4105267908840229,0.3684146752116457,0.06140244586860762,36,66.66666666666666
SOD-T,Saprolegnia,0.163346592094071,0.2878917805429669,0.047981963423827816,36,55.55555555555556
SOD-T,Pythium,0.12007574170031278,0.18740892235067824,0.031234820391779706,36,61.111111111111114
SOD-T,Achlya,0.06531078479133698,0.19232999312354251,0.03205499885392375,36,33.33333333333333
SOD-T,Phytopythium,0.06397292044506468,0.1340031965158869,0.02233386608598115,36,38.88888888888889
SOD-T,Phytophthora,0.06075904016954599,0.14435184938800444,0.024058641564667405,36,38.88888888888889
SOD-T,Thraustotheca,0.03354934322475759,0.14022653272139393,0.02337108878689899,36,25
SOD-T,Elongisporangium,0.029499833486265364,0.1025838934438437,0.01709731557397395,36,11.11111111111111
SOD-T,Lagenidium,0.02333607627760004,0.10036433750075717,0.01672738958345953,36,11.11111111111111
SOD-T,Aphanomyces,0.01657059640813142,0.04699190055090421,0.007831983425150702,36,38.88888888888889
SOD-T,Other,0.013052280518891254,0.04832983601519422,0.008054972669199037,36,33.33333333333333
Wildfire,Pythium,0.5979808446516874,0.4102230806423592,0.11377541166421733,13,100
Wildfire,Globisporangium,0.29671551740955043,0.41143620561690847,0.11411187199493143,13,53.84615384615385
Wildfire,Phytopythium,0.04286126939163878,0.13021467753325802,0.03611505358955158,13,15.384615384615385
Wildfire,Halophytophthora,0.04181234703979172,0.11406159287952553,0.0316349939760175,13,15.384615384615385
Wildfire,Other,0.010570697287574109,0.026407608763673446,0.0073241528815243704,13,61.53846153846154
Wildfire,Hyaloperonospora,0.010059324219757545,0.03626940927085262,0.010059324219757547,13,7.6923076923076925
